"id_prospect","nome","idade","sexo","profissao","marketing_channel"
1,"Ana Martins",35,"F","Advogada","ABC DAS MÃES"
2,"Bruno Almeida",37,"M","Engenheiro","CONVIDADO"
3,"Carla Souza",30,"F","Designer","GOOGLE"
4,"Daniel Oliveira",43,"M","Professor","INSTAGRAM"
5,"Elisa Ramos",32,"F","Médica","FACEBOOK"
6,"Felipe Castro",36,"M","Arquiteto","INDICAÇÃO"
7,"Gabriela Rocha",29,"F","Analista","SITE"
8,"Henrique Santos",34,"M","Vendedor","FAIXADA"
9,"Isabela Freitas",38,"F","Psicóloga","ABC DAS MÃES"
10,"João Pereira",31,"M","Programador","GOOGLE"
11,"Larissa Prado",33,"F","Biomédica","INSTAGRAM"
12,"Marcos Vinícius",40,"M","Administrador","CONVIDADO"
13,"Natália Nunes",28,"F","Jornalista","FACEBOOK"
14,"Otávio Ribeiro",35,"M","Economista","INDICAÇÃO"
15,"Patrícia Melo",39,"F","Dentista","SITE"
16,"Rafael Torres",32,"M","Analista Financeiro","FAIXADA"
17,"Sabrina Costa",30,"F","Fotógrafa","INSTAGRAM"
18,"Thiago Fernandes",41,"M","Coordenador","GOOGLE"
19,"Ursula Mendes",34,"F","Gerente","ABC DAS MÃES"
20,"Vitor Azevedo",36,"M","Publicitário","FACEBOOK"
21,"Amanda Lopes",31,"F","Enfermeira","INSTAGRAM"
22,"Bruno Pereira",35,"M","Engenheiro Civil","GOOGLE"
23,"Camila Ribeiro",29,"F","Designer Gráfico","SITE"
24,"Diego Martins",37,"M","Professor","CONVIDADO"
25,"Eduarda Faria",33,"F","Psicóloga","INDICAÇÃO"
26,"Fernando Amaral",44,"M","Advogado","FAIXADA"
27,"Giovana Castro",27,"F","Arquiteta","FACEBOOK"
28,"Heitor Lima",34,"M","Programador","INSTAGRAM"
29,"Ingrid Souza",30,"F","Analista de RH","GOOGLE"
30,"Juliano Duarte",36,"M","Vendedor","SITE"
31,"Kelly Barros",32,"F","Fisioterapeuta","ABC DAS MÃES"
32,"Lucas Moreira",41,"M","Contador","CONVIDADO"
33,"Mariana Alves",28,"F","Administradora","FACEBOOK"
34,"Nelson Prado",39,"M","Motorista","INDICAÇÃO"
35,"Olívia Mendes",33,"F","Secretária","INSTAGRAM"
36,"Paulo Henrique",37,"M","Analista de Sistemas","GOOGLE"
37,"Queila Duarte",26,"F","Vendedora","SITE"
38,"Roberto Campos",42,"M","Supervisor","FAIXADA"
39,"Sara Lima",31,"F","Consultora","INDICAÇÃO"
40,"Tiago Rocha",35,"M","Motorista","GOOGLE"
41,"Ueslei Santos",40,"M","Porteiro","INSTAGRAM"
42,"Vanessa Queiroz",28,"F","Auxiliar Adm","FACEBOOK"
43,"Wagner Freitas",32,"M","Ferroviário","CONVIDADO"
44,"Xênia Matos",34,"F","Designer","ABC DAS MÃES"
45,"Yago Cardoso",37,"M","Analista Comercial","SITE"
46,"Zilda Ferreira",29,"F","Nutricionista","INDICAÇÃO"
47,"Adriana Lopes Ferreira",35,"F","Enfermeira","FACEBOOK"
48,"Bruno César Figueiredo",41,"M","Eletricista","GOOGLE"
49,"Camila Duarte Pires",29,"F","Nutricionista","INSTAGRAM"
50,"Diego Rafael Guimarães",37,"M","Analista de Sistemas","SITE"
51,"Eduardo Simões Braga",34,"M","Vendedor","CONVIDADO"
52,"Fernanda Silva Moretti",30,"F","Fisioterapeuta","INDICAÇÃO"
53,"Guilherme Teles Duarte",32,"M","Motorista","FAIXADA"
54,"Helena Miranda Couto",28,"F","Secretária","ABC DAS MÃES"
55,"Igor Fernandes Barros",39,"M","Engenheiro Mecânico","FACEBOOK"
56,"Juliana Costa Marcondes",33,"F","Arquiteta","INSTAGRAM"
57,"Kleber Augusto Ribeiro",40,"M","Supervisor","SITE"
58,"Larissa Moura Santos",26,"F","Estudante","FAIXADA"
59,"Marcelo Vinícius Fonseca",42,"M","Cozinheiro","CONVIDADO"
60,"Natália Freire Albuquerque",31,"F","Jornalista","GOOGLE"
61,"Otávio Mendes Carvalho",36,"M","Gerente Comercial","FACEBOOK"
62,"Patrícia Guedes Silva",38,"F","Advogada","INSTAGRAM"
63,"Rogério Amato Cunha",43,"M","Porteiro","SITE"
64,"Sara Cristina Luz",30,"F","Farmacêutica","INDICAÇÃO"
65,"Tiago Ramos Fraga",35,"M","Pedreiro","FACEBOOK"
66,"Ursula Dias Coutinho",28,"F","Esteticista","FAIXADA"
67,"Vinícius Prado Monteiro",39,"M","Professor","INSTAGRAM"
68,"Wesley Nogueira Bastos",34,"M","Aux. Administrativo","GOOGLE"
69,"Xênia Rocha Ribeiro",32,"F","Designer","SITE"
70,"Yuri Tavares Lima",27,"M","Atendente","ABC DAS MÃES"
71,"Zuleide Barreto Farias",41,"F","Cabeleireira","CONVIDADO"
72,"Alice Martins Oliveira",33,"F","Psicóloga","FACEBOOK"
73,"Brenda Vasconcelos Lima",29,"F","Costureira","INDICAÇÃO"
74,"Cauã Ribeiro Andrade",36,"M","Analista Contábil","INSTAGRAM"
75,"Davi Silveira Pontes",31,"M","Garçom","FACEBOOK"
76,"Evelyn Rocha Passos",30,"F","Recepcionista","GOOGLE"
77,"Fabrício Sousa Melo",41,"M","Motorista","SITE"
78,"Graziele Ramos Dutra",38,"F","Técnica de Enfermagem","FAIXADA"
79,"Henrique Vasques Prado",34,"M","Montador","INSTAGRAM"
80,"Isadora Mendes Silveira",28,"F","Aux. Comercial","SITE"
81,"Jonas Ferreira Mourão",40,"M","Vendedor","INDICAÇÃO"
82,"Karen Cristina Lobo",32,"F","Nutricionista","CONVIDADO"
83,"Leonardo Guedes Batista",35,"M","Encanador","GOOGLE"
84,"Mirela Cardoso Teles",26,"F","Estudante","FACEBOOK"
85,"Natan Silva Barbosa",37,"M","Consultor","ABC DAS MÃES"
86,"Olga Teixeira Ramos",41,"F","Professora","FAIXADA"
87,"Pietro Menezes Rocha",33,"M","Motorista","SITE"
88,"Raquel Vieira Leal",29,"F","Designer","INSTAGRAM"
89,"Samuel Ferreira Bessa",44,"M","Cobrador","GOOGLE"
90,"Tainara Morais Pinto",30,"F","Aux. Escritório","FACEBOOK"
91,"Ulisses Braga Cunha",36,"M","Técnico Mecânico","INDICAÇÃO"
92,"Vera Lúcia Cardoso",38,"F","Cabeleireira","SITE"
