"id_vendedor","nome","email","telefone"
1,"Ana Martins","ana.martins@ulabum.com","11987654321"
2,"Bruno Oliveira","bruno.oliveira@ulabum.com","11965432109"
3,"Carla Souza","carla.souza@ulabum.com","11991234567"
4,"Daniel Lima","daniel.lima@ulabum.com","11977889900"
5,"Eduardo Santos","eduardo.santos@ulabum.com","11999887766"
6,"Fernanda Costa","fernanda.costa@ulabum.com","11988776655"
7,"Gabriel Pereira","gabriel.pereira@ulabum.com","11990011223"
8,"Helena Alves","helena.alves@ulabum.com","11993334444"
9,"Igor Fernandes","igor.fernandes@ulabum.com","11995556677"
10,"Julia Ramos","julia.ramos@ulabum.com","11997778899"
